keyword,money_score,max_result_count,source_hits,support_hits,seed_hits,sources,support_types,seed_examples
reseller inventory spreadsheet,0.8,0,1,1,1,curated,seed,reseller inventory spreadsheet
reseller profit tracker,0.8,0,1,1,1,curated,seed,reseller profit tracker
ebay reseller inventory log,0.8,0,1,1,1,curated,seed,ebay reseller inventory log
small business inventory tracker,0.8,0,1,1,1,curated,seed,small business inventory tracker
reseller bookkeeping spreadsheet,0.8,0,1,1,1,curated,seed,reseller bookkeeping spreadsheet
reseller profit calculator,0.8,0,1,1,1,curated,seed,reseller profit calculator
inventory sales tracker spreadsheet,0.8,0,1,1,1,curated,seed,inventory sales tracker spreadsheet
reseller expense tracker,0.8,0,1,1,1,curated,seed,reseller expense tracker
ebay inventory tracker spreadsheet,0.8,0,1,1,1,curated,seed,ebay inventory tracker spreadsheet
small business profit tracker,0.8,0,1,1,1,curated,seed,small business profit tracker
